"id","id_api","type","id_animal"
1,CS342,Sigfox                                                                                              ,CS342
2,DQ174,GSM                                                                                                 ,DQ174
3,DR978,GSM                                                                                                 ,DR978
4,DS346,GSM                                                                                                 ,DS346
5,DS531,GSM                                                                                                 ,DS531
6,DS532,GSM                                                                                                 ,DS532
7,DT557,Sigfox                                                                                              ,DT557
8,DT558,Sigfox                                                                                              ,DT558
9,DT559,Sigfox                                                                                              ,DT559
10,DU043,GSM                                                                                                 ,DU043
11,DU133,GSM                                                                                                 ,DU133
12,DW278,GSM                                                                                                 ,DW278
13,DW279,GSM                                                                                                 ,DW279
14,DW283,GSM                                                                                                 ,DW283
15,DW284,GSM                                                                                                 ,DW284
16,DW286,GSM                                                                                                 ,DW286
