a,b,alat,alon,blat,blon,time_bin,dist_m
CS342,DS532,37.427313649,22.413519493,37.42729839,22.413519493,2025-10-09 06:35:00,1.6967233856189923
CS342,DS532,37.427634089,22.413366903,37.427649348,22.413397421,2025-10-10 02:35:00,3.184472660878988
CS342,DS532,37.427252613,22.413473716,37.427252613,22.413458457,2025-10-10 06:05:00,1.3474115336335943
CS342,DS532,37.427344167,22.413626307,37.427344167,22.413641566,2025-10-10 21:05:00,1.3474098858743633
CS342,DS532,37.42745098,22.413672084,37.427466239,22.413717861,2025-10-10 23:35:00,4.38388422521299
CS342,DS532,37.427283131,22.413672084,37.427283131,22.413641566,2025-10-13 16:35:00,2.6948219693892193
CS342,DS532,37.427237354,22.413519493,37.427237354,22.413550011,2025-10-14 02:05:00,2.6948236171470166
CS342,DS532,37.427374685,22.413550011,37.427344167,22.41356527,2025-10-14 14:35:00,3.651163327613128
CS342,DW284,37.427374685,22.413824674,37.427359426,22.413809415,2025-10-15 11:30:00,2.1666523801013007
DS532,DW284,37.427252613,22.41373312,37.427237354,22.41373312,2025-09-19 23:35:00,1.6967233856189923
DS532,DW284,37.427359426,22.413595789,37.427389944,22.413595789,2025-09-20 03:05:00,3.3934467705306623
DS532,DW284,37.427542535,22.413794156,37.427573053,22.413763638,2025-09-26 23:30:00,4.333300491619511
DS532,DW284,37.427481498,22.413473716,37.427466239,22.413427939,2025-10-07 08:05:00,4.383883465540049
DS532,DW284,37.427222095,22.413595789,37.427206836,22.413550011,2025-10-07 13:35:00,4.383977800707155
DS532,DW284,37.427389944,22.413473716,37.427420462,22.413488975,2025-10-07 21:05:00,3.651163025002202
